query,score,value,eps,min_samples,bias
Cheburashka,ndcg,0.5937934748141566,0.1,5,us
Cheburashka,map,0.04,0.1,5,ru
Cheburashka,ndcg,0.5937934748141566,0.1,5,ru
Cheburashka,map,0.04,0.1,8,False
Cheburashka,ndcg,0.5937934748141566,0.1,8,False
Cheburashka,map,0.04,0.1,8,us
Cheburashka,ndcg,0.5937934748141566,0.1,8,us
Cheburashka,map,0.04,0.1,8,ru
Cheburashka,ndcg,0.5937934748141566,0.1,8,ru
Cheburashka,map,0.06666666666666667,0.5,2,False
Cheburashka,ndcg,0.6036459309675191,0.5,2,False
Cheburashka,map,0.0625,0.5,2,us
Cheburashka,ndcg,0.5803633447721747,0.5,2,us
Cheburashka,map,0.05555555555555555,0.5,2,ru
Cheburashka,ndcg,0.6226983068645275,0.5,2,ru
Cheburashka,map,0.04,0.5,5,False
Cheburashka,ndcg,0.6052888779821576,0.5,5,False
Cheburashka,map,0.04,0.5,5,us
Cheburashka,ndcg,0.5779810986950961,0.5,5,us
Cheburashka,map,0.04,0.5,5,ru
Cheburashka,ndcg,0.628352298245281,0.5,5,ru
Cheburashka,map,0.04,0.5,8,False
Cheburashka,ndcg,0.5937934748141566,0.5,8,False
Cheburashka,map,0.04,0.5,8,us
Cheburashka,ndcg,0.5937934748141566,0.5,8,us
Cheburashka,map,0.04,0.5,8,ru
Cheburashka,ndcg,0.5937934748141566,0.5,8,ru
Cheburashka,map,0.07692307692307693,0.9,2,False
Cheburashka,ndcg,0.5395089258445964,0.9,2,False
Cheburashka,map,0.08333333333333333,0.9,2,us
Cheburashka,ndcg,0.5879721471316292,0.9,2,us
Cheburashka,map,0.058823529411764705,0.9,2,ru
Cheburashka,ndcg,0.5739232184275407,0.9,2,ru
Cheburashka,map,0.04,0.9,5,False
Cheburashka,ndcg,0.5939692380996696,0.9,5,False
Cheburashka,map,0.04,0.9,5,us
Cheburashka,ndcg,0.5939692380996696,0.9,5,us
Cheburashka,map,0.04,0.9,5,ru
Cheburashka,ndcg,0.6089472748274287,0.9,5,ru
Cheburashka,map,0.04,0.9,8,False
Cheburashka,ndcg,0.5939692380996696,0.9,8,False
Cheburashka,map,0.04,0.9,8,us
Cheburashka,ndcg,0.5939692380996696,0.9,8,us
Cheburashka,map,0.04,0.9,8,ru
Cheburashka,ndcg,0.6089472748274287,0.9,8,ru
classmates,map,0.41358363858363856,0.1,2,False
classmates,ndcg,0.7715533565074272,0.1,2,False
classmates,map,0.37617058417569926,0.1,2,us
classmates,ndcg,0.7730547120851725,0.1,2,us
classmates,map,0.38272144522144524,0.1,2,ru
classmates,ndcg,0.8138107479644826,0.1,2,ru
classmates,map,0.47867132867132867,0.1,5,False
classmates,ndcg,0.7641842598924727,0.1,5,False
classmates,map,0.4889751324190683,0.1,5,us
classmates,ndcg,0.7306259091817314,0.1,5,us
classmates,map,0.49558275058275064,0.1,5,ru
classmates,ndcg,0.7306259091817314,0.1,5,ru
classmates,map,0.40073426573426574,0.1,8,False
classmates,ndcg,0.7751687630330559,0.1,8,False
classmates,map,0.40073426573426574,0.1,8,us
classmates,ndcg,0.7751687630330559,0.1,8,us
classmates,map,0.40073426573426574,0.1,8,ru
classmates,ndcg,0.7751687630330559,0.1,8,ru
classmates,map,0.41711081316344467,0.5,2,False
classmates,ndcg,0.7567562139328046,0.5,2,False
classmates,map,0.3860695740746891,0.5,2,us
classmates,ndcg,0.7731951631632611,0.5,2,us
classmates,map,0.4124014874014874,0.5,2,ru
classmates,ndcg,0.7896341123937176,0.5,2,ru
classmates,map,0.4323251748251748,0.5,5,False
classmates,ndcg,0.7774857546208984,0.5,5,False
classmates,map,0.4550026188645115,0.5,5,us
classmates,ndcg,0.7553913861234675,0.5,5,us
classmates,map,0.45684953934953937,0.5,5,ru
classmates,ndcg,0.7416104123223147,0.5,5,ru
classmates,map,0.38753621378621383,0.5,8,False
classmates,ndcg,0.7882856612538482,0.5,8,False
classmates,map,0.3817599946156953,0.5,8,us
classmates,ndcg,0.7711662597735636,0.5,8,us
classmates,map,0.38024948735475056,0.5,8,ru
classmates,ndcg,0.7882856612538482,0.5,8,ru
classmates,map,0.3669194586242641,0.9,2,False
classmates,ndcg,0.8170396264110829,0.9,2,False
classmates,map,0.36280854766148884,0.9,2,us
classmates,ndcg,0.8173190131341659,0.9,2,us
classmates,map,0.3692070403236105,0.9,2,ru
classmates,ndcg,0.8170396264110829,0.9,2,ru
classmates,map,0.3528604202814729,0.9,5,False
classmates,ndcg,0.848726116361289,0.9,5,False
