,rank,query,value,cat,timeframe
7,7,craigslist,36,top,2020-06-01 2020-07-01
8,8,trump,34,top,2020-06-01 2020-07-01
9,9,yahoo,29,top,2020-06-01 2020-07-01
10,10,home depot,25,top,2020-06-01 2020-07-01
11,11,target,22,top,2020-06-01 2020-07-01
12,12,instagram,22,top,2020-06-01 2020-07-01
13,13,translate,20,top,2020-06-01 2020-07-01
14,14,lowes,20,top,2020-06-01 2020-07-01
15,15,gmail,20,top,2020-06-01 2020-07-01
16,16,netflix,19,top,2020-06-01 2020-07-01
17,17,calculator,18,top,2020-06-01 2020-07-01
18,18,ebay,16,top,2020-06-01 2020-07-01
19,19,yahoo mail,13,top,2020-06-01 2020-07-01
20,20,best buy,12,top,2020-06-01 2020-07-01
21,21,fox news,12,top,2020-06-01 2020-07-01
22,22,cnn,12,top,2020-06-01 2020-07-01
23,23,chase,11,top,2020-06-01 2020-07-01
24,24,food near me,11,top,2020-06-01 2020-07-01
25,0,juneteenth,2850,rising,2020-06-01 2020-07-01
26,1,antifa,250,rising,2020-06-01 2020-07-01
27,2,weather tomorrow,150,rising,2020-06-01 2020-07-01
28,3,dicks sporting good,110,rising,2020-06-01 2020-07-01
29,4,trump,80,rising,2020-06-01 2020-07-01
30,5,restaurants near me,40,rising,2020-06-01 2020-07-01
0,0,weather,100,top,2020-07-01 2020-08-01
1,1,facebook,78,top,2020-07-01 2020-08-01
2,2,google,76,top,2020-07-01 2020-08-01
3,3,amazon,75,top,2020-07-01 2020-08-01
4,4,news,70,top,2020-07-01 2020-08-01
5,5,youtube,62,top,2020-07-01 2020-08-01
6,6,coronavirus,54,top,2020-07-01 2020-08-01
7,7,walmart,51,top,2020-07-01 2020-08-01
8,8,craigslist,37,top,2020-07-01 2020-08-01
9,9,trump,30,top,2020-07-01 2020-08-01
10,10,yahoo,28,top,2020-07-01 2020-08-01
11,11,home depot,24,top,2020-07-01 2020-08-01
12,12,instagram,23,top,2020-07-01 2020-08-01
13,13,twitter,23,top,2020-07-01 2020-08-01
14,14,target,22,top,2020-07-01 2020-08-01
15,15,netflix,20,top,2020-07-01 2020-08-01
16,16,gmail,20,top,2020-07-01 2020-08-01
17,17,translate,20,top,2020-07-01 2020-08-01
18,18,lowes,18,top,2020-07-01 2020-08-01
19,19,usps,17,top,2020-07-01 2020-08-01
20,20,ebay,16,top,2020-07-01 2020-08-01
21,21,yahoo mail,14,top,2020-07-01 2020-08-01
22,22,costco,14,top,2020-07-01 2020-08-01
23,23,food near me,13,top,2020-07-01 2020-08-01
24,24,best buy,13,top,2020-07-01 2020-08-01
25,0,naya rivera,7900,rising,2020-07-01 2020-08-01
26,1,dilhan eryurt,2950,rising,2020-07-01 2020-08-01
27,2,kelly preston,2250,rising,2020-07-01 2020-08-01
28,3,fourth of july,450,rising,2020-07-01 2020-08-01
29,4,local guide program,60,rising,2020-07-01 2020-08-01
0,0,google,100,top,2020-08-01 2020-09-01
1,1,weather,88,top,2020-08-01 2020-09-01
2,2,facebook,68,top,2020-08-01 2020-09-01
3,3,youtube,60,top,2020-08-01 2020-09-01
4,4,amazon,59,top,2020-08-01 2020-09-01
5,5,walmart,40,top,2020-08-01 2020-09-01
6,6,craigslist,31,top,2020-08-01 2020-09-01
7,7,nba,31,top,2020-08-01 2020-09-01
8,8,unemployment,26,top,2020-08-01 2020-09-01
9,9,yahoo,26,top,2020-08-01 2020-09-01
10,10,gmail,22,top,2020-08-01 2020-09-01
11,11,home depot,21,top,2020-08-01 2020-09-01
12,12,instagram,21,top,2020-08-01 2020-09-01
13,13,google classroom,19,top,2020-08-01 2020-09-01
14,14,translate,19,top,2020-08-01 2020-09-01
15,15,target,18,top,2020-08-01 2020-09-01
16,16,twitter,18,top,2020-08-01 2020-09-01
17,17,calculator,17,top,2020-08-01 2020-09-01
18,18,netflix,17,top,2020-08-01 2020-09-01
19,19,zoom,16,top,2020-08-01 2020-09-01
20,20,ebay,13,top,2020-08-01 2020-09-01
21,21,lowes,13,top,2020-08-01 2020-09-01
22,22,costco,12,top,2020-08-01 2020-09-01
23,23,best buy,12,top,2020-08-01 2020-09-01
24,24,fox news,11,top,2020-08-01 2020-09-01
25,0,chadwick boseman,6800,rising,2020-08-01 2020-09-01
26,1,barbara hepworth,3300,rising,2020-08-01 2020-09-01
27,2,covid-19 prevention,2950,rising,2020-08-01 2020-09-01
28,3,kamala harris,1550,rising,2020-08-01 2020-09-01
29,4,nba scores,1150,rising,2020-08-01 2020-09-01
30,5,google classroom,800,rising,2020-08-01 2020-09-01
31,6,seesaw,350,rising,2020-08-01 2020-09-01
32,7,nba,250,rising,2020-08-01 2020-09-01
33,8,canvas,120,rising,2020-08-01 2020-09-01
34,9,google docs,90,rising,2020-08-01 2020-09-01
35,10,zoom,80,rising,2020-08-01 2020-09-01
36,11,google drive,70,rising,2020-08-01 2020-09-01
37,12,espn,60,rising,2020-08-01 2020-09-01
38,13,quizlet,50,rising,2020-08-01 2020-09-01
39,14,google,50,rising,2020-08-01 2020-09-01
40,15,local guide program,40,rising,2020-08-01 2020-09-01
0,0,google,100,top,2020-09-01 2020-10-01
1,1,weather,59,top,2020-09-01 2020-10-01
2,2,youtube,51,top,2020-09-01 2020-10-01
3,3,facebook,44,top,2020-09-01 2020-10-01
4,4,amazon,42,top,2020-09-01 2020-10-01
5,5,news,39,top,2020-09-01 2020-10-01
6,6,walmart,28,top,2020-09-01 2020-10-01
7,7,google classroom,23,top,2020-09-01 2020-10-01
8,8,nfl,23,top,2020-09-01 2020-10-01
9,9,nba,22,top,2020-09-01 2020-10-01
10,10,yahoo,20,top,2020-09-01 2020-10-01
11,11,calculator,19,top,2020-09-01 2020-10-01
12,12,craigslist,19,top,2020-09-01 2020-10-01
13,13,translate,19,top,2020-09-01 2020-10-01
14,14,gmail,18,top,2020-09-01 2020-10-01
15,15,netflix,13,top,2020-09-01 2020-10-01
16,16,twitter,13,top,2020-09-01 2020-10-01
17,17,home depot,12,top,2020-09-01 2020-10-01
18,18,target,12,top,2020-09-01 2020-10-01
19,19,zoom,11,top,2020-09-01 2020-10-01
20,20,email,10,top,2020-09-01 2020-10-01
21,21,google translate,10,top,2020-09-01 2020-10-01
22,22,google docs,9,top,2020-09-01 2020-10-01
23,23,lowes,8,top,2020-09-01 2020-10-01
24,24,ebay,8,top,2020-09-01 2020-10-01
25,0,nfl scores,5050,rising,2020-09-01 2020-10-01
26,1,ruth bader ginsburg,2100,rising,2020-09-01 2020-10-01
27,2,among us,1000,rising,2020-09-01 2020-10-01
28,3,nfl,500,rising,2020-09-01 2020-10-01
29,4,quizlet,200,rising,2020-09-01 2020-10-01
30,5,kahoot,140,rising,2020-09-01 2020-10-01
31,6,google docs,100,rising,2020-09-01 2020-10-01
32,7,google classroom,90,rising,2020-09-01 2020-10-01
33,8,cool math games,80,rising,2020-09-01 2020-10-01
34,9,nearpod,80,rising,2020-09-01 2020-10-01
35,10,google meet,70,rising,2020-09-01 2020-10-01
36,11,calculator,60,rising,2020-09-01 2020-10-01
37,12,lakers,60,rising,2020-09-01 2020-10-01
38,13,spanish to english,50,rising,2020-09-01 2020-10-01
39,14,google translate,50,rising,2020-09-01 2020-10-01
40,15,google drive,50,rising,2020-09-01 2020-10-01
41,16,google,40,rising,2020-09-01 2020-10-01
42,17,espn,40,rising,2020-09-01 2020-10-01
43,18,translate,40,rising,2020-09-01 2020-10-01
0,0,google,100,top,2020-10-01 2020-11-01
1,1,weather,94,top,2020-10-01 2020-11-01
